"Buffer","Agency","Line(s)","Station Name","Year Opened","Latitude","Longitude"
"Existing Transit","MARTA","BLUE-East/West Line(BLUE)","AVONDALE STATION","Pre-2000",33.77533,-84.280715
"Existing Transit","MARTA","BLUE-East/West Line(BLUE)","DECATUR STATION","Pre-2000",33.774449,-84.296907
"Existing Transit","MARTA","BLUE-East/West Line(BLUE)","EAST LAKE STATION","Pre-2000",33.765062,-84.312611
"Existing Transit","MARTA","BLUE-East/West Line(BLUE)","HAMILTON E HOLMES STATION","Pre-2000",33.754627,-84.468041
"Existing Transit","MARTA","BLUE-East/West Line(BLUE)","INDIAN CREEK STATION","Pre-2000",33.769212,-84.229255
"Existing Transit","MARTA","BLUE-East/West Line(BLUE)","KENSINGTON STATION","Pre-2000",33.772093,-84.252217
"Existing Transit","MARTA","BLUE-East/West Line(BLUE)","WEST LAKE STATION","Pre-2000",33.752888,-84.446654
"Existing Transit","MARTA","BLUE-East/West Line(BLUE), GREEN-Proctor Creek Line(GREEN)","EDGEWOOD-CANDLER PARK STATION","Pre-2000",33.761544,-84.340032
"Existing Transit","MARTA","BLUE-East/West Line(BLUE), GREEN-Proctor Creek Line(GREEN)","GEORGIA STATE STATION","Pre-2000",33.749866,-84.385404
"Existing Transit","MARTA","BLUE-East/West Line(BLUE), GREEN-Proctor Creek Line(GREEN)","KING MEMORIAL STATION","Pre-2000",33.749468,-84.376011
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD)","BROOKHAVEN -OGLETHORPE STATION","Pre-2000",33.860615,-84.338831
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD)","CHAMBLEE STATION","Pre-2000",33.887911,-84.305949
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD)","DORAVILLE STATION","Pre-2000",33.902993,-84.28086
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD)","LENOX STATION","Pre-2000",33.845137,-84.357854
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD)","LINDBERGH  CENTER STATION","Pre-2000",33.823617,-84.36927
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)","AIRPORT STATION","Pre-2000",33.639864,-84.446284
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)","COLLEGE PARK STATION","Pre-2000",33.65082,-84.448027
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)","EAST POINT STATION","Pre-2000",33.676609,-84.440595
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)","FIVE POINTS STATION","Pre-2000",33.754061,-84.391539
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)","GARNETT STATION","Pre-2000",33.748929,-84.395513
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)","LAKEWOOD- FT MCPHERSON  STATION","Pre-2000",33.700629,-84.4293
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)","MIDTOWN STATION","Pre-2000",33.780737,-84.386657
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)","NORTH AVENUE STATION","Pre-2000",33.771705,-84.387411
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)","OAKLAND CITY STATION","Pre-2000",33.717264,-84.425279
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)","PEACHTREE CENTER STATION","Pre-2000",33.759541,-84.387564
"Existing Transit","MARTA","GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)","WEST END STATION","Pre-2000",33.73584,-84.412967
"Existing Transit","MARTA","GREEN-Proctor Creek Line(GREEN)","BANKHEAD STATION","Pre-2000",33.771944,-84.428633
"Existing Transit","MARTA","GREEN-Proctor Creek Line(GREEN), BLUE-East/West Line(BLUE)","ASHBY STATION","Pre-2000",33.756343,-84.417556
"Existing Transit","MARTA","GREEN-Proctor Creek Line(GREEN), BLUE-East/West Line(BLUE)","DOME-GWCC-PHILIPS ARENA-CNN STATION","Pre-2000",33.75633,-84.397759
"Existing Transit","MARTA","GREEN-Proctor Creek Line(GREEN), BLUE-East/West Line(BLUE)","FIVE POINTS STATION","Pre-2000",33.753962,-84.391549
"Existing Transit","MARTA","GREEN-Proctor Creek Line(GREEN), BLUE-East/West Line(BLUE)","INMAN PARK -REYNOLDSTOWN STATION","Pre-2000",33.757317,-84.35262
"Existing Transit","MARTA","GREEN-Proctor Creek Line(GREEN), BLUE-East/West Line(BLUE)","VINE CITY STATION","Pre-2000",33.756612,-84.404348
"Existing Transit","MARTA","RED-North South North Springs Line(RED)","BUCKHEAD STATION","Pre-2000",33.847837,-84.367379
"Existing Transit","MARTA","RED-North South North Springs Line(RED)","DUNWOODY STATION","Pre-2000",33.920638,-84.344736
"Existing Transit","MARTA","RED-North South North Springs Line(RED)","LINDBERGH CENTER STATION","Pre-2000",33.823698,-84.369248
"Existing Transit","MARTA","RED-North South North Springs Line(RED)","LINDBERGH POCKET","Pre-2000",33.823456,-84.369292
"Existing Transit","MARTA","RED-North South North Springs Line(RED)","MEDICAL CENTER STATION","Pre-2000",33.912296,-84.351237
"Existing Transit","MARTA","RED-North South North Springs Line(RED)","NORTH SPRINGS STATION","Pre-2000",33.945433,-84.357395
"Existing Transit","MARTA","RED-North South North Springs Line(RED)","SANDY SPRINGS STATION","Pre-2000",33.931358,-84.350906
"Existing Transit","MARTA","RED-North South North Springs Line(RED), GOLD-Northeast Doraville Line(GOLD)","ARTS CENTER STATION","Pre-2000",33.789283,-84.387125
"Existing Transit","MARTA","RED-North South North Springs Line(RED), GOLD-Northeast Doraville Line(GOLD)","CIVIC CENTER STATION","Pre-2000",33.766245,-84.387504
"Planned Transit","Downtown Streetcar","TIGER II","Hilliard N","",33.75549963,-84.37648788
"Planned Transit","Downtown Streetcar","TIGER II","Hilliard S","",33.75437967,-84.37675104
"Planned Transit","Downtown Streetcar","TIGER II","Luckie","",33.75622422,-84.38851008
"Planned Transit","Downtown Streetcar","TIGER II","Margaret Mitchell","",33.75848871,-84.38862528
"Planned Transit","Downtown Streetcar","TIGER II","MLK Jr Center","",33.75516195,-84.37437144
"Planned Transit","Downtown Streetcar","TIGER II","Olympic Park","",33.75973215,-84.39188652
"Planned Transit","Downtown Streetcar","TIGER II","Peachtree Center Street N","",33.75558198,-84.38593284
"Planned Transit","Downtown Streetcar","TIGER II","Peachtree Center Street S","",33.75451143,-84.38664096
"Planned Transit","Downtown Streetcar","TIGER II","Piedmont N","",33.75556551,-84.38213664
"Planned Transit","Downtown Streetcar","TIGER II","Piedmont S","",33.75445383,-84.3825402
"Planned Transit","Downtown Streetcar","TIGER II","Spring","",33.75838989,-84.39067584
"Proposed Transit","Athens Atlanta Brain Train","Commuter Rail","Athens","",33.95940147,-83.37162456
"Proposed Transit","Athens Atlanta Brain Train","Commuter Rail","Atlantic Station","",33.79367169,-84.39784092
"Proposed Transit","Athens Atlanta Brain Train","Commuter Rail","Bogart","",33.94878966,-83.53417176
"Proposed Transit","Athens Atlanta Brain Train","Commuter Rail","Dacula","",33.98885073,-83.8977228
"Proposed Transit","Athens Atlanta Brain Train","Commuter Rail","Emory","",33.85233162,-84.21420636
